,Tender. No,Description,Procuring_Entity,Proc. Method,Proc. Category,Close Date,Time to Close,Publish Date,Addendum,Days Open,Publish Month
79,KE-KURA-201971-GO-RFB,"PACKAGE 1: ICT SYSTEMS UPGRADING AND SUPPLY OF NECESSARY HARDWARE/EQUIPMENT UNDER LOT 1, LOT 2, LOT 3 AND LOT 4",Infrastructure,Open Tender,Goods,2025-07-16,Closes in 2 days,2025-06-03,Addendum added,43.0,2025-06
90,KE-ICTA-476102-GO-RFB,"Supply & Delivery of Laptops & Interactive Smart Boards (ISB) for Digital Literacy Programme in Four Lots: Lot 1: 2,312No. Laptops & 2,312No. ISB; Lot 2: 2,223No. Laptops & 2,223No. ISB; Lot 3: 3,048No. Laptops & 3,048No. ISB; Lot 4: 2,799No. Laptops & 2,799No ISB.",ICT Authority,Open Tender,Goods,2025-07-17,Closes in 2 days,2025-05-13,Addendum added,65.0,2025-05
93,RFX 1000001366,Manda Island 11kv Double Circuit Power Line Ocean Channel Crossing and Associated Works- Retender,Rural Electrification Authority,Open Tender,Works,2025-07-17,Closes in 2 days,2025-05-27,,51.0,2025-05
141,ETTI/R/2025/2026/11,TENDER 11-SUPPLY AND DELIVERY OF MILK (ELIGIBILITY-OPEN),Emining Tehnical Training Institute,Open Tender,Goods,2025-07-18,Closes in 3 days,2025-05-27,Addendum added,52.0,2025-05
153,NHC/PPP/019/2024-25,"RFQ FOR The Development of an Affordable Housing Project at the Stoni Athi Estate off Mombasa Road, Machakos County, Kenya on Public Private Partnership (PPP) Basis",National Housing Corporation,Prequalification,Works,2025-07-18,Closes in 4 days,2025-05-20,,59.0,2025-05
202,LVNWWDA/GK/NANDI/CHEPKIK-KAIBOI/2024-2025/24,KABIYET-KAIBOI-CHEPKIT CLUSTER WATER PROJECT,Lake Victoria North Water services Board,Open Tender,Works,2025-07-22,Closes in 7 days,2025-06-17,Addendum added,35.0,2025-06
206,MSU/ONT/016/2024-2025,SUPPLY AND DELIVERY OF TEXTBOOKS FOR LIBRARY SERVICES,Maseno University,Open Tender,Goods,2025-07-22,Closes in 8 days,2025-01-07,,196.0,2025-01
234,SABHS/38/2025,PROVISION OF CARWASH AND AUTOMOTIVE SERVICES,St. Anthony's Boys High School Kitale,Open Tender,Goods,2025-07-28,Closes in 13 days,2025-06-09,,49.0,2025-06
235,SABHS/37/2025,SUPPLY AND DELIVERY OF PETROLEUM PRODUCTS,St. Anthony's Boys High School Kitale,Open Tender,Goods,2025-07-28,Closes in 13 days,2025-06-09,,49.0,2025-06
236,SABHS/36/2025,SUPPLY AND DELIVERY OF LABORATORY EQUIPMENT,St. Anthony's Boys High School Kitale,Open Tender,Goods,2025-07-28,Closes in 13 days,2025-06-09,,49.0,2025-06
